Dataset	Statistic	MAD	MADScaled	MADRank	MAE	MAEScaled	MAERank	RMSE	RMSEScaled	RMSERank
Lun2ZINB	ZerosGene	36.199999999999996	1.2063062739903605	11	33.823837876222214	1.2009339324563846	11	43.11222799582469	1.2515041536848133	12
scDD	ZerosGene	32	0.9384743964171706	9	30.063025072376686	0.915359189870904	9	37.56725756400828	0.9140057568927245	9
BASiCS	ZerosGene	0.20000000000000018	-1.089395533779841	2	0.3061342655814716	-1.344209918063838	2	0.47042190821289576	-1.3439183770307854	2
mfa	ZerosGene	43.8	1.6909544334085143	12	34.63790899655869	1.2627498650118814	12	40.72427402401934	1.1061597110033394	11
PhenoPath	ZerosGene	18	0.045701471173203216	8	23.96878789534058	0.45259746684459745	8	26.655972842589094	0.2498829909188996	7
ZINBWaVE	ZerosGene	0	-1.1021494327118977	1	0.0915606052329711	-1.360503421892848	1	0.15179053683515473	-1.3633120921695738	1
SparseDC	ZerosGene	9.200000000000003	-0.5154700818372904	6	12.189359261484677	-0.4418653728047879	5	14.824183139263889	-0.4702669368680576	5
Splat	MeanVar	1.0059805086447202	-0.5798485259495002	5	0.9387233736710722	-0.7949508948543962	3	1.1455491707203316	-0.9791432658449768	3
SplatDrop	MeanVar	0.401946266347446	-0.8433120483371037	2	1.4620355975955757	-0.5679587602668686	4	2.2123401278355597	-0.541899116345515	5
Simple	MeanVar	0.8900495141665397	-0.6304145138030287	4	1.5105093747149967	-0.5469327539233882	5	2.11279781920666	-0.5826983861418702	4
Lun	MeanVar	5.82856502628686	1.5236333879195632	11	5.870274677218465	1.3441609126726195	11	6.019471630692399	1.0185246619931327	11
Lun2	MeanVar	2.092346230465695	-0.10600495942658789	7	2.9828351059076152	0.09170388640812016	9	5.080830878405283	0.6338052615501981	10
Lun2ZINB	MeanVar	2.1784086141030974	-0.06846685785812719	9	2.9629563531258873	0.08308127007972126	8	4.9848013138268215	0.5944457553499802	9
scDD	MeanVar	2.1366684522050825	-0.08667279604609449	8	1.9694975924133729	-0.34784182785147993	6	2.3200376226012036	-0.4977572915691166	6
BASiCS	MeanVar	0.41396064824039114	-0.8380716974576791	3	0.5892328034796911	-0.9465460744032665	2	0.9496971526142732	-1.0594168644477504	2
mfa	MeanVar	2.0421363717209196	-0.1279051520268812	6	2.7700545788746207	-5.918862143182743e-4	7	4.140939655230192	0.2485733323159011	7
PhenoPath	MeanVar	7.636927074403458	2.3123923714117307	12	8.152627889225046	2.3341554203316175	12	8.671390623471524	2.105463069940222	12
ZINBWaVE	MeanVar	0.08558643437222169	-0.9812997149918077	1	0.20234748793931798	-1.1143616147254205	1	0.4140341808730648	-1.278968313525173	1
