Date	Users1Day	Users7Day	Users30Day
2018-07-30	27	183	692
2018-07-31	44	199	717
2018-08-01	41	217	734
2018-08-02	25	210	728
2018-08-03	51	222	750
2018-08-04	15	202	742
2018-08-05	11	199	735
2018-08-06	22	197	742
2018-08-07	60	212	781
2018-08-08	33	204	788
2018-08-09	25	203	719
2018-08-10	24	176	707
2018-08-11	11	170	684
2018-08-12	12	173	673
2018-08-13	20	170	678
2018-08-14	27	133	680
2018-08-15	24	122	676
2018-08-16	41	136	680
2018-08-17	52	165	698
2018-08-18	42	198	710
2018-08-19	14	198	704
2018-08-20	26	200	713
2018-08-21	24	198	723
2018-08-22	23	200	712
2018-08-23	29	189	710
2018-08-24	42	173	722
2018-08-25	40	170	729
2018-08-26	11	169	703
2018-08-27	44	189	716
2018-08-28	54	216	748
2018-08-29	43	241	765
2018-08-30	26	238	745
2018-08-31	55	249	754
2018-09-01	37	247	766
2018-09-02	13	250	731
2018-09-03	19	224	735
2018-09-04	30	201	752
2018-09-05	30	187	759
2018-09-06	15	173	713
2018-09-07	27	150	711
2018-09-08	23	139	708
2018-09-09	9	134	699
2018-09-10	27	140	714
2018-09-11	31	141	726
2018-09-12	30	142	730
2018-09-13	34	162	738
2018-09-14	37	166	751
2018-09-15	25	164	734
2018-09-16	19	167	695
2018-09-17	28	169	675
2018-09-18	36	176	693
2018-09-19	32	178	700
2018-09-20	53	189	721
2018-09-21	43	190	739
2018-09-22	22	191	731
2018-09-23	13	186	706
2018-09-24	26	185	689
2018-09-25	206	352	876
2018-09-26	88	407	917
2018-09-27	46	404	903
2018-09-28	27	396	886
2018-09-29	22	396	884
2018-09-30	30	411	866
2018-10-01	22	407	855
2018-10-02	42	247	875
2018-10-03	73	237	919
2018-10-04	60	251	940
2018-10-05	33	252	938
2018-10-06	19	249	945
2018-10-07	8	231	933
2018-10-08	22	228	931
2018-10-09	34	221	944
2018-10-10	35	183	949
2018-10-11	47	170	967
2018-10-12	39	179	971
2018-10-13	20	176	955
2018-10-14	13	176	936
2018-10-15	21	180	937
2018-10-16	37	183	956
2018-10-17	38	192	965
2018-10-18	30	174	960
2018-10-19	29	164	959
2018-10-20	18	166	938
2018-10-21	13	170	921
2018-10-22	22	169	920
2018-10-23	34	160	934
2018-10-24	39	162	946
2018-10-25	30	165	784
2018-10-26	40	174	741
2018-10-27	16	171	722
2018-10-28	11	168	707
2018-10-29	34	184	713
2018-10-30	27	177	708
2018-10-31	22	159	706
2018-11-01	31	156	698
2018-11-02	25	140	655
2018-11-03	13	139	615
2018-11-04	10	138	598
2018-11-05	27	130	599
2018-11-06	27	130	611
2018-11-07	30	136	618
2018-11-08	51	154	638
2018-11-09	31	159	635
2018-11-10	17	163	606
2018-11-11	41	194	607
2018-11-12	88	250	665
2018-11-13	65	282	707
2018-11-14	86	329	759
2018-11-15	50	321	765
2018-11-16	40	326	762
2018-11-17	25	328	750
2018-11-18	31	323	754
2018-11-19	25	269	756
2018-11-20	40	255	774
2018-11-21	75	253	822
2018-11-22	43	251	825
2018-11-23	21	233	806
2018-11-24	33	245	808
2018-11-25	12	225	788
2018-11-26	16	215	788
2018-11-27	72	242	838
2018-11-28	56	225	861
2018-11-29	100	274	922
2018-11-30	32	276	924
2018-12-01	44	282	934
2018-12-02	11	280	925
2018-12-03	33	291	934
2018-12-04	59	281	971
2018-12-05	38	262	976
2018-12-06	46	208	989
2018-12-07	34	210	984
2018-12-08	29	202	968
2018-12-09	11	204	954
2018-12-10	22	196	955
2018-12-11	38	179	952
2018-12-12	36	179	909
2018-12-13	26	167	881
2018-12-14	37	174	842
2018-12-15	19	158	817
2018-12-16	14	160	801
2018-12-17	27	163	804
2018-12-18	57	181	822
2018-12-19	26	173	822
2018-12-20	23	169	807
2018-12-21	14	153	765
2018-12-22	6	143	734
2018-12-23	7	137	727
2018-12-24	17	130	709
2018-12-25	12	89	709
2018-12-26	13	74	707
2018-12-27	26	79	676
2018-12-28	18	80	645
2018-12-29	14	87	570
2018-12-30	11	90	561
2018-12-31	11	87	536
2019-01-01	11	86	537
2019-01-02	17	90	529
2019-01-03	30	94	508
2019-01-04	34	108	508
2019-01-05	15	107	487
2019-01-06	21	116	482
2019-01-07	27	128	475
2019-01-08	39	151	498
2019-01-09	35	165	509
2019-01-10	27	163	498
2019-01-11	46	179	506
2019-01-12	41	201	517
2019-01-13	17	197	509
2019-01-14	24	194	512
2019-01-15	45	199	534
2019-01-16	52	216	555
2019-01-17	35	221	532
2019-01-18	44	219	545
2019-01-19	35	214	552
2019-01-20	26	223	561
2019-01-21	26	220	573
2019-01-22	30	204	583
2019-01-23	33	185	589
2019-01-24	27	180	600
2019-01-25	147	285	720
2019-01-26	56	307	747
2019-01-27	25	306	753
2019-01-28	45	322	777
2019-01-29	44	337	798
2019-01-30	31	337	811
2019-01-31	38	345	828
2019-02-01	47	249	845
2019-02-02	34	227	852
2019-02-03	19	222	844
2019-02-04	29	205	855
2019-02-05	26	187	856
2019-02-06	41	196	871
2019-02-07	34	196	873
2019-02-08	37	188	878
2019-02-09	24	180	881
2019-02-10	18	178	868
2019-02-11	29	180	864
2019-02-12	51	204	893
2019-02-13	62	221	920
2019-02-14	41	227	920
2019-02-15	33	219	899
2019-02-16	29	225	896
